platform-group,text,label
Youtube,ang problema ng mga stupedyante din kc nagmamadali. baka naman pede din kau mag working student gaya ng madami dyan. diba???? puros asa nalang sa gobyerno. pag mahirap gobyerno na kaagad ang sisihin at aasahan. hay nakakabanas.,0
Youtube,Ano naman ngayon kung may panuntunang dapat sundin? Dapat lang dahil dapat sa deserving lng yun mapunta.,0
Youtube,ANTITRINITARIAN sobrang mura na nga 50% pa.,0
Youtube,aquino gusto namin ang no or less tuition pero stop announcing it by yourself.You're not worthy.,0
Youtube,BKIT DI NINYO ISINAMA ANG NGA GURO NA MAARING MGING JOBLESS. OR MLAGAY SA ALANGANIN.GANYAN NA LMANG KYO MG PLANO ....,0
Youtube,Bakit di nyo yan ginawa nun panahon ni PNOY??,0
Youtube,"bakit kasi kelangan pa icategory

di nlng gawing Libre Tuition para sa lahat no exemptions. kaya kung pumalpak palpak sila sa buhay nila kasalanan na nila yan, sa tax nlng bawiin specially sa mga married at may anak na, para atleast napapakinabangan rin nila.",0
Youtube,Bakit nung kay pinoy di nila sinulong yan😂,0
Youtube,"Bakit pa sya Sinabing State University or college if not free. Bakit naman tatawaging scholar ng bayan ang mga tanga UP eh may tuition fee. Diba pag sinabing scholar ng bayan it should be for free, Kasi scholar ka eh. Or maybe they are only using the word scholar para sabihing brand ng isang University.",0
Youtube,"dapat ang una cgurong gawin dito sa mga nais makakuha ng libreng tuition fee ng ating governo eh maghintay nlng , wag kac magmadali kac sabi nga ng ched may inaayos pang mga isyu dto.",0
Youtube,dapat depend sa buhay dapat e pacheck ang buhay kung karapatdapat tulungan para di naman kawawa ang bnsa kung lahat free,0
Youtube,Dapat din imbestigahan mga propesor o gurong umaabuso't ginagamig mga estudyante sa mga rally o tinuturuang maging rebelde!!!,0
Youtube,dapat mga anak ng mga ofw librerin db.,0
Youtube,Dapat no hard projects or no thesis policy and 2 to 3 subject policy in 4th year college para bawas trabaho tsaka hindi naman lahat ng subject na napag-aralan mo mai-aapply sa totoong trabaho.,0
Youtube,dapat sa mga mahirAP plang yan,0
Youtube,dapat yung libreng tuition ay igagawad sa mga academic scholar kpag libre na ang college malulugi ang private school niyan?,0
Youtube,"Dati na yan sistema walang pinagkaiba.. binago lng nila pangalan ng programa ""free tuition fee"" para nga nman magandang balita sa mga kababayan natin..",0
Youtube,free tuition na nga hinahanapan pa nang butas,0
Youtube,free tuitionnga hirap naman pumasa sa UP! 😭😭😭😭😂😂😂,0
Youtube,Good idea but Philippines is NOT quite ready for this. It shouldn't be totally free but it should be cheaper instead.This Dutae is behaving like Philippines is well developed and rich country already.Puro hambog!,0
Youtube,"Hindi naman lahat ng students kasali dyan,, of may magrarally kasi may mali,, at saka hind lahat ng schools kasali,, school ng mga anak ko wala nmn sa list.. at hallerrr,,",0
Youtube,I hope 'wag nilang gawing way 'to para perahan ang mga State U students. Karapatan naming mag-aral hindi perahan :),0
Youtube,ikaw hiningian? kawawa....,0
Youtube,ikaw na mag president. ikaw na gumawa ng solution..,0
Youtube,Its too good to be true.,0
Youtube,"J. Midnite 
tama ka diyan rally sila ng rally sa gobyerno tapos bibigyan pa ng gobyerno na libre gawing 100 k per smister tustion diyan gnun rin sa dellasle university home school ko at ateneo de manila",0
Youtube,Juan Makabayan Hindi lht ng students makikinabang Dyan..Kaya nga Sabi pinag aaralan p Yung formula. school ng anak ko Wala sa lists,0
Youtube,kahit anong gawin ng PDU30 negative parin para sa mga anti du30.,0
Youtube,Kawa naman mahirap kasi di makapag Aral wlang pera dapat wala ng tuition fee,0
Youtube,Kaya kung hindi kinukurakot ng mga KULTONG DILAW!!!,0
Youtube,KSP po yan o baka my blak tumakbo sa election sus wg na nkkasawa na kau duterte prn kmi baka bumalik ang drugs pg iba namuno.,0
Youtube,KSP sla nililinis yata nila mga baho nila.,0
Youtube,libreng tuition tapos mauuto lang ng dilaw para mag rally?,0
Youtube,Mahalin Ako57 di naman po nalugi sa ibang bansa na libre ang tuition fee ng lahat ng studyante mapa pre school hanggang college at may allowance pa po yun. ang naka disadvantage lang po nun ay baka po tataas ang tax ng bawat mamayan pag ito po ay mangyari sa Pilipinas. 12% lang po kasi ang tax ng lahat ng consumer po dito,0
Youtube,meron na pondo so anjan na kaya mag wait nlng kyo..mahirap pangako lng wala nman budget..,0
Youtube,"Michel Razo >>>>>>>>>>>>> when is the right time ?the time is now , PH is a rich country only this currupt official esp. past administration didnt do thier oath for the country n pipol ....",0
Youtube,MR Bam Aquino Di mo ginawa yan nung panahon ni NoyNoy bakit ngayon lang sigurado di rin nmn mahihirap makikinabang sa batas na yan,0
Youtube,"natawa nalang ako sa watchdog nato, all they have to do is work harder than a karabaw ,, hindi na Yellow ang nakaupong presidente kaya bawal ang petiks😂😂😂 or else matulad kalang ky VP leni FIRED😂😂😂😂",0
Youtube,Near Poor! What is this?,0
